Frame Number,Vehicle,License Plate,Average Score
1,motorcycle_1.0,29P1-7424,0.4046362731605768
1,motorcycle_2.0,33K5-9379,0.6163596101105213
2,motorcycle_2.0,33K5-93798,0.46323613160186344
3,motorcycle_2.0,33K5-9379,0.6724901832640171
3,motorcycle_3.0,29Y1-48853,0.8626547720697191
4,motorcycle_2.0,33K5-38378,0.5002200106779734
5,motorcycle_2.0,33K5-93798,0.5195387684636645
5,motorcycle_3.0,29Y1-48853,0.8464368118180169
6,motorcycle_2.0,33K5-9379,0.633591752499342
6,motorcycle_3.0,29Y1-48853,0.8797907829284668
6,motorcycle_4.0,39MH-2771,0.46393499709665775
7,motorcycle_3.0,29Y1-48853,0.8760649164517721
8,motorcycle_3.0,29K1-48853,0.8412792699204551
8,motorcycle_4.0,39MA-2771,0.5112712755799294
9,motorcycle_2.0,39H5-9379,0.5693265115842223
9,motorcycle_3.0,29K1-48853,0.8140580803155899
10,motorcycle_2.0,39K5-9378,0.5235007591545582
10,motorcycle_3.0,29M1-48853,0.8127314125498136
11,motorcycle_2.0,44S-90798,0.390147658996284
11,motorcycle_3.0,29Y1-48853,0.8061883896589279
12,motorcycle_3.0,29M1-48853,0.8287939495510526
13,motorcycle_2.0,39D5-9079,0.5697945179417729
13,motorcycle_3.0,29M1-48853,0.8149222218328052
14,motorcycle_3.0,29H1-48853,0.7966011696391635
15,motorcycle_2.0,30S3-9079,0.45218230970203876
15,motorcycle_5.0,29A-08390,0.9057967588305473
16,motorcycle_2.0,30H5-9079,0.5144803430885077
16,motorcycle_5.0,29A-08790,0.8313228636980057
17,motorcycle_2.0,30K5-90798,0.42827844123045605
17,motorcycle_3.0,29M1-48853,0.8239276872740852
18,motorcycle_2.0,30K5-9079,0.42348150070756674
18,motorcycle_5.0,29A-08890,0.8306389283388853
19,motorcycle_2.0,30K5-90789,0.44568637841277653
19,motorcycle_3.0,29Y1-48853,0.8223191632164849
19,motorcycle_5.0,29A-08790,0.8764583691954613
20,motorcycle_2.0,30K5-9079,0.5263778585940599
20,motorcycle_5.0,29A-08890,0.789233073592186
21,motorcycle_2.0,39H5-9079,0.6054408587515354
21,motorcycle_3.0,29M1-48853,0.7818224868840642
21,motorcycle_5.0,29A-08800,0.9080387353897095
22,motorcycle_2.0,39A5-9079,0.6447275299578905
22,motorcycle_5.0,29BA-08800,0.7869387682941225
22,motorcycle_6.0,29AA-08800,0.8080652571386762
23,motorcycle_2.0,39K5-9379,0.5348504539579153
23,motorcycle_3.0,29Y1-48853,0.8538917667335935
23,motorcycle_5.0,29BA-08080,0.6829640865325928
24,motorcycle_3.0,29A1-48853,0.8143577012750838
24,motorcycle_5.0,29A-08300,0.8252483792603016
24,motorcycle_6.0,29A-08390,0.7799229212105274
25,motorcycle_2.0,39A5-98379,0.5181901421811845
25,motorcycle_5.0,29A-08300,0.8229849264025688
26,motorcycle_2.0,39S9-9307,0.45074631087481976
26,motorcycle_5.0,29AA-08390,0.8182151450051202
26,motorcycle_6.0,29AA-08390,0.7942357593112521
27,motorcycle_2.0,30P5-89379,0.4645354259345267
28,motorcycle_2.0,33P5-98379,0.5385639750295215
28,motorcycle_6.0,29AA-08390,0.8201267222563425
29,motorcycle_2.0,39K5-83379,0.4312845402293735
29,motorcycle_6.0,29AA-08390,0.7682912564939923
30,motorcycle_2.0,39DK-98379,0.34964103748401004
30,motorcycle_6.0,29AA-08390,0.7785797615845998
