Vehicle,License Plate,Average Score,Violation,Date Time
motorcycle_9.0,17B4-12145,0.920816077126397,Red light violation,2024-07-06 04:39:56
motorcycle_10.0,29H2-78037,0.7586379448572794,Red light violation,2024-07-06 04:39:57
motorcycle_11.0,18LA-02030,0.899376802974277,Red light violation,2024-07-06 04:40:07
motorcycle_14.0,81L1-17111,0.43199799458185834,Red light violation,2024-07-06 04:40:21
motorcycle_12.0,37P1-17406,0.9281965957747565,Red light violation,2024-07-06 04:40:45
motorcycle_19.0,29P1-38569,0.9250484373834398,Red light violation,2024-07-06 04:41:09
motorcycle_17.0,29F5-55665,0.8135679529772865,Red light violation,2024-07-06 04:41:18
motorcycle_23.0,17B4-34807,0.9118257098727756,Red light violation,2024-07-06 04:41:36
motorcycle_28.0,30L7-8597,0.9216253980994225,Red light violation,2024-07-06 04:42:27
motorcycle_35.0,,0,Red light violation,2024-07-06 04:42:42
motorcycle_13.0,,0,Red light violation,2024-07-06 04:42:50
motorcycle_41.0,,0,Red light violation,2024-07-06 04:43:13
motorcycle_42.0,,0,Red light violation,2024-07-06 04:43:18
motorcycle_38.0,29E2-93980,0.9242284562852647,Red light violation,2024-07-06 04:43:35
motorcycle_46.0,29E2-09800,0.9508259561326768,Red light violation,2024-07-06 04:44:42
motorcycle_53.0,29E2-83635,0.9529829621315002,Red light violation,2024-07-06 04:46:27
motorcycle_60.0,29Y3-48466,0.8532129459910922,Red light violation,2024-07-06 04:46:45
motorcycle_54.0,18G1-25402,0.9270877374543084,Red light violation,2024-07-06 04:46:48
motorcycle_58.0,35K1-60482,0.891612728436788,Red light violation,2024-07-06 04:47:41
motorcycle_62.0,75G1-04024,0.8978270557191637,Red light violation,2024-07-06 04:47:47
motorcycle_69.0,29E2-56849,0.944721069600847,Red light violation,2024-07-06 04:47:54
motorcycle_79.0,29E2-83635,0.90144016345342,Red light violation,2024-07-06 04:47:57
motorcycle_74.0,,0,Red light violation,2024-07-06 04:48:25
motorcycle_66.0,94B1-6574,0.46796965319663286,Red light violation,2024-07-06 04:48:47
motorcycle_93.0,14G1-25462,0.6668722397751279,Red light violation,2024-07-06 04:49:25
motorcycle_96.0,29X2-07759,0.7455887397130331,Red light violation,2024-07-06 04:51:21
motorcycle_98.0,29D2-57752,0.9464567767249213,Red light violation,2024-07-06 04:52:43
motorcycle_104.0,29E2-66470,0.9400619996918572,Red light violation,2024-07-06 04:54:31
motorcycle_106.0,29B1-77983,0.9401961631245084,Red light violation,2024-07-06 04:55:09
motorcycle_114.0,29P1-81254,0.9275169836150275,Red light violation,2024-07-06 04:57:10
motorcycle_116.0,29Y5-54358,0.9195774131351047,Red light violation,2024-07-06 04:58:13
motorcycle_123.0,29E2-37776,0.9542008572154574,Red light violation,2024-07-06 05:00:38
bus_130.0,,0,Red light violation,2024-07-06 05:00:41
motorcycle_127.0,29E3-01149,0.9470531211958991,Red light violation,2024-07-06 05:00:59
motorcycle_135.0,29P1-81254,0.9290947251849704,Red light violation,2024-07-06 05:01:06
motorcycle_126.0,29H1-44580,0.805926779905955,Red light violation,2024-07-06 05:01:26
bus_143.0,,0,Red light violation,2024-07-06 05:01:59
motorcycle_140.0,29B1-60709,0.6327664479613304,Red light violation,2024-07-06 05:02:13
motorcycle_145.0,,0,Red light violation,2024-07-06 05:02:22
motorcycle_146.0,,0,Red light violation,2024-07-06 05:02:22
